TicketID,CustomerID,JourneyID,Price,TicketClass,Purchase_Date,
T28978,C34952,J24293,12123,Economy,12/28/2019,
T22444,C34950,J34829,12123,Economy,6/19/2020,
T5569,C1040,J1642,12150,Economy,3/11/2019,
T12049,C34945,J20241,12150,Economy,7/21/2020,
T22615,C34944,J30866,12150,Economy,12/13/2019,
T29942,C1043,J29223,12150,Economy,10/29/2019,
T19276,C34943,J5698,12215,Economy,8/23/2020,
T18035,C1045,J25852,12230,Economy,6/11/2019,
T6780,C34942,J14454,12780,Economy,1/4/2019,
T19112,C1047,J21081,12885,Economy,7/14/2019,
T32850,C1048,J32734,12539,Economy,4/4/2019,
T26891,C1049,J26967,12938,Economy,3/29/2020,
T17900,C34941,J32023,12990,Economy,3/2/2019,
T27466,C1051,J7858,12990,Economy,4/4/2019,
T3114,C1052,J17764,12990,Economy,11/23/2019,
T1537,C34940,J17053,13086,Economy,5/17/2020,
T34597,C34937,J25200,13279,Economy,8/17/2020,
T13554,C1055,J28714,13279,Economy,8/10/2019,
T16927,C1056,J19084,13279,Economy,7/31/2019,
T8011,C1057,J25266,13279,Economy,1/3/2019,
T14796,C1058,J8001,13279,Economy,3/27/2020,
T20568,C34936,J8338,13673,Economy,8/5/2020,
T15327,C1060,J33293,13410,Economy,1/22/2019,
T14211,C1061,J20440,13935,Economy,2/18/2021,
T22389,C34935,J34053,14040,Economy,9/18/2020,
T16678,C1063,J20104,14040,Economy,3/27/2019,
T23548,C34933,J15145,14093,Economy,10/3/2020,
T10039,C34930,J6396,14093,Economy,10/18/2019,
T27779,C34928,J11441,14093,Economy,7/10/2019,
T15364,C1067,J9111,13767,Economy,10/16/2020,
T12596,C1068,J22395,13932,Economy,9/22/2019,
T10520,C1069,J4373,14408,Economy,1/21/2019,
T1195,C1070,J32092,14408,Economy,6/5/2019,
T1419,C34927,J26717,14250,Economy,5/9/2019,
T20248,C34926,J2745,14539,Economy,7/23/2020,
T33844,C34925,J31243,14985,Economy,9/23/2019,
T24993,C34924,J5589,14670,Economy,9/19/2020,
T28973,C1075,J22935,15195,Economy,11/1/2020,
T30472,C34922,J15458,15720,Economy,1/23/2019,
T9340,C1077,J17042,15983,Economy,2/10/2019,
T34269,C1078,J21008,15983,Economy,3/11/2020,
T13942,C1079,J9298,15720,Economy,6/4/2020,
T23469,C1080,J7985,15720,Economy,7/31/2019,
T30374,C34919,J16138,15720,Economy,5/10/2020,
T13060,C34918,J16926,16245,Economy,3/31/2019,
T20531,C34917,J28100,16613,Economy,7/26/2019,
T2085,C1084,J23126,16665,Economy,10/13/2020,
T13443,C1085,J18429,16665,Economy,11/17/2020,
T8288,C1086,J30645,16455,Economy,6/29/2019,
T29414,C34916,J30482,16665,Economy,4/26/2019,
T1307,C34915,J15588,17348,Economy,8/16/2020,
T27964,C1089,J8624,17348,Economy,1/31/2021,
T16114,C1090,J7201,17348,Economy,5/21/2019,
T6918,C34913,J9431,17348,Economy,7/11/2020,
T4518,C34912,J18721,17348,Economy,7/17/2019,
T24148,C1093,J5914,17400,Economy,3/23/2020,
T23440,C34910,J21453,17505,Economy,4/4/2020,
T9449,C34909,J25712,17610,Economy,10/10/2020,
T19629,C1096,J22470,17295,Economy,9/29/2020,
T14771,C1097,J8782,17663,Economy,7/17/2019,
T5926,C34908,J34044,18030,Economy,2/4/2019,
T20610,C1099,J21825,18398,Economy,8/23/2020,
T5412,C34907,J11808,18450,Economy,8/28/2020,
T16522,C1101,J26566,18487,Economy,3/4/2021,
T12303,C1102,J29618,18923,Economy,10/11/2019,
T8574,C1103,J16731,18923,Economy,10/20/2020,
T26918,C1104,J9616,18923,Economy,6/2/2020,
T23390,C1105,J15441,19238,Economy,5/15/2019,
T25868,C1106,J20870,19920,Economy,7/3/2019,
T29332,C1107,J26711,19710,Economy,3/31/2020,
T6033,C1108,J2170,19710,Economy,5/31/2019,
T3925,C34906,J3750,20130,Economy,2/12/2021,
T23613,C1110,J25918,19815,Economy,11/1/2019,
T22827,C1111,J11926,21075,Economy,11/12/2019,
T18512,C34903,J15419,21111,Economy,8/5/2019,
T9344,C1113,J12856,23206,Economy,2/5/2020,
T13719,C1114,J33304,24540,Economy,10/25/2020,
T31541,C34901,J26734,25800,Economy,1/25/2020,
T32353,C1116,J23318,27270,Economy,7/14/2020,
T29268,C34898,J5229,29580,Economy,8/21/2020,
T20832,C34894,J18325,5953,Economy,1/19/2020,
T26909,C34893,J30470,5953,Economy,8/18/2020,
T34489,C1120,J7344,5955,Economy,7/14/2019,
T16702,C34889,J29707,5955,Economy,2/12/2020,
T10767,C1122,J20481,5955,Economy,6/24/2020,
T1440,C34888,J11406,5955,Economy,11/22/2020,
T15108,C1124,J7676,5955,Economy,12/8/2019,
T14884,C1125,J34752,6060,Economy,6/20/2019,
T33768,C1126,J8423,5954,Economy,4/19/2020,
T7111,C1127,J24983,5954,Economy,12/13/2019,
T27521,C34887,J21710,5954,Economy,7/7/2019,
T27106,C34881,J34167,5954,Economy,4/1/2021,
T21678,C1130,J8457,5954,Economy,6/10/2019,
T26790,C1131,J28123,5954,Economy,3/22/2020,
T26412,C1132,J19358,5955,Economy,12/21/2020,
T22565,C34880,J30933,5955,Economy,1/10/2021,
T23579,C34878,J20782,5955,Economy,11/26/2020,
T14875,C34877,J24367,5955,Economy,6/29/2019,
T12935,C1136,J20978,5955,Economy,5/7/2020,
T5135,C34874,J12436,5955,Economy,5/8/2020,
T23468,C1138,J16016,5955,Economy,6/1/2020,
T31099,C34873,J6363,5955,Economy,5/18/2019,
T12924,C34872,J32164,5955,Economy,1/1/2020,
T22419,C1141,J23625,5956,Economy,1/18/2019,
T28180,C34870,J5778,5955,Economy,1/20/2021,
T29630,C34869,J6041,5955,Economy,12/12/2020,
T33046,C1144,J20956,5955,Economy,3/9/2019,
T14325,C1145,J2299,5955,Economy,4/19/2020,
T11789,C34868,J15073,5955,Economy,6/21/2019,
T18159,C34867,J14537,5949,Economy,2/17/2020,
T21852,C1148,J20184,5949,Economy,2/12/2020,
T11321,C34863,J31118,5954,Economy,2/1/2019,
T31809,C1150,J28008,5954,Economy,12/28/2020,
T11127,C1151,J4443,5955,Economy,1/17/2019,
T29853,C34858,J16841,5955,Economy,8/24/2019,
T34877,C34856,J21243,6375,Economy,11/13/2020,
T31150,C1154,J4412,7530,Economy,1/10/2019,
T33589,C1155,J13873,7530,Economy,3/6/2020,
T16405,C34855,J19757,7530,Economy,1/7/2019,
T32932,C1157,J32277,7419,Economy,1/21/2020,
T9128,C1158,J28880,7845,Economy,8/6/2020,
T25697,C34853,J31473,8396,Economy,11/20/2019,
T26024,C1160,J5748,8869,Economy,11/15/2020,
T19017,C34851,J9092,9183,Economy,3/13/2019,
T8456,C1162,J23243,9840,Economy,3/11/2021,
T33005,C34850,J34304,9840,Economy,10/15/2020,
T27137,C34848,J25530,9840,Economy,6/18/2020,
T31934,C34847,J15830,10566,Economy,9/22/2020,
T7379,C34846,J7588,10303,Economy,6/8/2019,
T28982,C1167,J10340,10523,Economy,12/9/2020,
T10758,C1168,J32225,10523,Economy,1/31/2021,
T12341,C1169,J16617,11048,Economy,2/21/2021,
T32109,C34845,J10213,10838,Economy,12/11/2019,
T9915,C1171,J32902,10838,Economy,10/18/2019,
T31789,C1172,J7514,10838,Economy,9/18/2020,
T4510,C1173,J32579,11100,Economy,2/27/2020,
T5282,C34843,J10958,11326,Economy,2/29/2020,
T5053,C1175,J16662,11678,Economy,1/25/2021,
T6175,C34842,J2074,12150,Economy,6/15/2020,
T25664,C34838,J18119,12150,Economy,6/9/2020,
T3427,C34837,J32688,12150,Economy,1/5/2021,
T8251,C34835,J8054,12150,Economy,7/26/2019,
T11430,C1180,J5856,11814,Economy,2/18/2021,
T27834,C1181,J24445,11814,Economy,7/30/2020,
T15261,C34832,J5454,11900,Economy,1/9/2021,
T1233,C34829,J11199,12308,Economy,1/16/2021,
T2042,C1184,J11622,12570,Economy,4/19/2020,
T13333,C34825,J23765,12570,Economy,5/28/2019,
T23889,C34824,J31613,12623,Economy,1/20/2019,
T23002,C34821,J32712,12623,Economy,2/20/2020,
T12056,C34818,J14943,12623,Economy,9/5/2019,
T13853,C1189,J13379,12298,Economy,2/6/2019,
T33383,C1190,J11927,12302,Economy,2/18/2019,
T16157,C1191,J32107,12465,Economy,4/20/2019,
T3307,C1192,J17365,12990,Economy,1/14/2020,
T28881,C1193,J27724,12675,Economy,3/7/2020,
T9514,C34817,J20009,12850,Economy,1/13/2019,
T5276,C1195,J3994,12990,Economy,8/18/2019,
T18711,C34816,J7134,12990,Economy,10/9/2019,
T5502,C34813,J31312,12990,Economy,1/24/2020,
T6576,C1198,J24205,12990,Economy,11/2/2020,
T25336,C1199,J14095,12990,Economy,6/2/2019,
T29418,C1200,J16709,13069,Economy,9/17/2019,
T25260,C34811,J32693,13321,Economy,1/16/2020,
T23797,C1202,J12202,13673,Economy,12/11/2020,
T27634,C1203,J31346,13830,Economy,9/29/2019,
T31298,C34804,J2728,14093,Economy,5/25/2019,
T26335,C34800,J11075,14093,Economy,9/8/2019,
T28590,C1206,J7332,14093,Economy,3/1/2021,
T8233,C1207,J8342,13830,Economy,3/31/2019,
T28900,C34798,J8517,14129,Economy,4/13/2019,
T12767,C34797,J13478,14513,Economy,9/14/2019,
T2481,C34796,J7546,14513,Economy,3/28/2019,
T29101,C1211,J11180,14250,Economy,3/7/2020,
T16308,C1212,J13435,14409,Economy,4/28/2020,
T6911,C1213,J2027,14487,Economy,4/20/2019,
T17289,C1214,J10500,14933,Economy,4/8/2019,
T2262,C34795,J24920,14933,Economy,4/22/2019,
T16040,C34793,J25053,15038,Economy,8/10/2020,
T26391,C34785,J1501,15353,Economy,11/30/2019,
T34104,C1218,J8467,15353,Economy,10/30/2020,
T31064,C34783,J1631,15353,Economy,3/20/2021,
T14248,C34778,J8711,15353,Economy,1/25/2020,
T7125,C1221,J30656,15353,Economy,11/6/2020,
T26665,C1222,J4858,15117,Economy,9/29/2020,
T13145,C34777,J28919,15195,Economy,1/4/2021,
T26797,C34774,J27568,15232,Economy,11/19/2019,
T33452,C1225,J29805,15510,Economy,9/19/2020,
T11469,C1226,J4184,15720,Economy,7/11/2020,
T5783,C1227,J23236,15720,Economy,12/7/2019,
T22737,C1228,J31443,15720,Economy,1/24/2019,
T8710,C34773,J26845,16035,Economy,8/18/2019,
T31498,C34771,J12880,16560,Economy,10/27/2020,
T10297,C1231,J10333,16560,Economy,3/7/2020,
T3546,C1232,J30806,16823,Economy,4/24/2019,
T1346,C1233,J4123,17348,Economy,3/4/2021,
T11150,C34770,J19315,17348,Economy,3/24/2021,
T1372,C34766,J15255,17136,Economy,9/16/2019,
T29874,C34765,J23643,18135,Economy,5/29/2020,
T26877,C34764,J9625,18135,Economy,11/26/2019,
T2374,C34763,J2188,19343,Economy,6/24/2019,
T1398,C1239,J21909,19553,Economy,7/1/2019,
T28925,C34760,J26633,19815,Economy,9/9/2020,
T19955,C1241,J23766,20445,Economy,10/14/2020,
T9191,C1242,J12350,21180,Economy,12/2/2019,
T14360,C1243,J6270,22335,Economy,3/1/2019,
T10077,C34758,J19521,23281,Economy,6/14/2020,
T27305,C34757,J8299,23281,Economy,8/24/2020,
T31118,C1246,J4740,24488,Economy,5/20/2019,
T21668,C34755,J14716,24855,Economy,9/10/2019,
T18717,C1248,J21159,25905,Economy,5/16/2019,
T22954,C1249,J3194,29160,Economy,12/13/2019,
T1308,C34752,J15622,29580,Economy,2/25/2020,
T18646,C1251,J17728,5953,Economy,10/23/2020,
T29524,C1252,J6122,5953,Economy,12/26/2020,
T6945,C34750,J1657,5953,Economy,12/7/2020,
T11780,C34749,J11161,5955,Economy,1/21/2021,
T6521,C34746,J11654,5955,Economy,5/27/2020,
T23727,C1256,J7370,5955,Economy,3/3/2021,
T11226,C1257,J14120,5954,Economy,7/9/2020,
T25312,C1258,J31778,5954,Economy,8/12/2019,
T8692,C34745,J14732,5954,Economy,12/18/2019,
T20642,C34740,J3335,5954,Economy,1/2/2021,
T17815,C34738,J6903,5955,Economy,4/1/2021,
T33620,C1262,J32314,5955,Economy,9/5/2020,
T8458,C34736,J29196,5955,Economy,7/31/2020,
T26654,C34735,J25232,5955,Economy,6/28/2020,
T5041,C1265,J18710,5956,Economy,4/13/2019,
T9615,C1266,J1364,5955,Economy,2/26/2020,
T13122,C1267,J7042,5955,Economy,1/12/2019,
T34908,C34734,J15274,5955,Economy,3/30/2020,
T6531,C1269,J4245,5955,Economy,2/5/2021,
T33223,C34730,J17071,5954,Economy,11/25/2019,
T26320,C1271,J5518,5954,Economy,8/30/2020,
T3463,C34725,J24214,5955,Economy,8/20/2019,
T22446,C1273,J5243,6375,Economy,3/21/2019,
T14879,C34724,J16400,6060,Economy,5/13/2020,
T20921,C34723,J23502,6270,Economy,7/5/2019,
T23764,C1276,J9746,6690,Economy,5/4/2019,
T17661,C34720,J7792,6532,Economy,11/2/2020,
T28405,C34719,J33262,6532,Economy,3/27/2019,
T25087,C34717,J1437,7005,Economy,2/29/2020,
T16281,C1280,J14664,6795,Economy,9/9/2020,
T1410,C34711,J13038,7110,Economy,6/11/2020,
T27035,C1282,J23735,7420,Economy,2/9/2019,
T9691,C1283,J19149,7583,Economy,7/14/2019,
T18252,C1284,J2362,7845,Economy,10/8/2020,
T21116,C1285,J16482,8055,Economy,10/1/2020,
T21302,C34710,J6350,8370,Economy,2/13/2019,
T13364,C1287,J9762,8370,Economy,12/30/2019,
T20920,C1288,J2771,9525,Economy,11/10/2019,
T16124,C34706,J21767,9988,Economy,1/3/2020,
T5560,C34704,J13915,9840,Economy,10/27/2020,
T14177,C34701,J25833,9988,Economy,2/5/2019,
T20800,C34699,J12297,10523,Economy,3/17/2019,
T2376,C1293,J24520,11048,Economy,7/13/2020,
T21332,C34691,J25599,10759,Economy,5/25/2019,
T22009,C1295,J10616,10785,Economy,4/4/2019,
T5064,C34690,J4246,10863,Economy,2/13/2020,
T29424,C1297,J19630,10943,Economy,1/19/2019,
T1102,C1298,J9499,11415,Economy,10/19/2020,
T23287,C1299,J20544,11415,Economy,3/5/2019,
T9801,C1300,J23712,11415,Economy,2/21/2021,
T26048,C34689,J26523,11326,Economy,11/28/2019,
T16537,C1302,J7724,11326,Economy,7/5/2019,
T29224,C34687,J34376,11468,Economy,7/26/2019,
T18723,C1304,J6493,12098,Economy,7/8/2019,
T5673,C34686,J12820,12150,Economy,8/25/2019,
T19812,C34685,J32861,11809,Economy,6/19/2020,
T7646,C1307,J34169,11814,Economy,12/25/2019,
T27558,C34684,J24012,11814,Economy,9/22/2019,
T18238,C34682,J34850,11900,Economy,10/15/2020,
T30547,C34681,J13340,11993,Economy,7/1/2020,
T32391,C1311,J31857,12010,Economy,2/21/2021,
T27120,C34680,J32186,12045,Economy,4/30/2020,
T6480,C1313,J11274,12045,Economy,4/15/2019,
T5853,C34678,J14336,12150,Economy,2/25/2020,
T32522,C34676,J22969,12150,Economy,8/2/2020,
T3412,C1316,J7346,12150,Economy,1/16/2020,
T6805,C34675,J18866,12229,Economy,2/3/2020,
T15633,C1318,J29643,12623,Economy,5/1/2019,
T17362,C34674,J24606,12298,Economy,8/11/2020,
T26526,C1320,J29375,12780,Economy,3/3/2019,
T15863,C1321,J12507,12465,Economy,11/23/2019,
T32457,C1322,J2885,12885,Economy,6/19/2020,
T20475,C34673,J24329,12570,Economy,8/12/2019,
T32759,C1324,J15354,12570,Economy,8/16/2020,
T24483,C1325,J33809,12990,Economy,6/28/2019,
T31788,C34672,J23176,13410,Economy,5/17/2019,
T16155,C1327,J13187,13069,Economy,10/9/2019,
T31969,C1328,J6492,13069,Economy,4/18/2020,
T13190,C34670,J32217,13086,Economy,7/13/2020,
T8878,C1330,J24422,13515,Economy,6/21/2020,
T24121,C1331,J19770,13200,Economy,2/11/2021,
T6230,C34669,J14009,13279,Economy,12/26/2019,
T3782,C1333,J15663,13515,Economy,6/8/2020,
T2900,C1334,J17777,14040,Economy,5/21/2020,
T13491,C34668,J29807,14040,Economy,12/10/2020,
T32903,C1336,J15631,14040,Economy,11/27/2020,
T21247,C1337,J18949,13767,Economy,9/4/2019,
T31707,C34667,J23407,14565,Economy,6/20/2019,
T4268,C1339,J20472,14565,Economy,10/17/2020,
T13708,C1340,J22275,14565,Economy,7/25/2019,
T2076,C1341,J10691,14565,Economy,1/17/2019,
T14391,C1342,J28796,14235,Economy,3/1/2019,
T31998,C34661,J13380,14250,Economy,10/16/2020,
T28362,C34660,J19460,14618,Economy,9/29/2020,
T8273,C34659,J5078,14775,Economy,10/9/2020,
T18983,C1346,J3683,14775,Economy,3/20/2019,
T13885,C34656,J19474,14775,Economy,6/9/2020,
T28519,C1348,J5349,14744,Economy,8/12/2020,
T15610,C1349,J10556,15353,Economy,2/22/2020,
T12556,C34655,J19527,15353,Economy,5/22/2019,
T6174,C34654,J31038,15405,Economy,7/19/2020,
T25753,C1352,J25627,15090,Economy,2/13/2020,
T25698,C1353,J10105,15232,Economy,2/29/2020,
T24353,C1354,J12432,15232,Economy,10/27/2020,
T29340,C34653,J27155,15720,Economy,7/11/2019,
T33138,C1356,J8704,15720,Economy,7/1/2020,
T15175,C34652,J18469,15405,Economy,8/1/2020,
T12971,C1358,J28438,15720,Economy,7/29/2020,
T12776,C1359,J22765,15720,Economy,5/20/2020,
T14086,C34649,J7451,15720,Economy,12/10/2020,
T6892,C1361,J21326,15825,Economy,12/26/2019,
T15643,C34648,J21670,15825,Economy,3/21/2019,
T16764,C1363,J28445,16245,Economy,1/26/2020,
T4728,C34647,J4421,16665,Economy,5/5/2019,
T24168,C1365,J14772,16718,Economy,6/22/2019,
T14757,C1366,J24962,16823,Economy,3/31/2019,
T8146,C1367,J32689,17190,Economy,2/22/2021,
T28802,C34646,J2909,16859,Economy,10/7/2019,
T10374,C1369,J10007,17243,Economy,4/8/2020,
T3192,C1370,J4677,17348,Economy,10/9/2020,
T21997,C1371,J18793,17136,Economy,1/20/2019,
T8801,C34643,J8831,17295,Economy,7/9/2020,
T29462,C34639,J32404,17978,Economy,5/25/2019,
T7260,C34638,J33949,18030,Economy,2/24/2020,
T28538,C34634,J23921,18135,Economy,11/8/2019,
T28393,C1376,J27035,18135,Economy,10/8/2019,
T27286,C1377,J3211,18713,Economy,1/3/2020,
T7580,C34630,J15936,19238,Economy,2/18/2019,
T1468,C1379,J12573,19605,Economy,6/13/2020,
T7416,C1380,J17343,19605,Economy,1/15/2021,
T25251,C34629,J24259,19920,Economy,6/6/2019,
T24351,C34627,J10607,21233,Economy,11/14/2020,
T19835,C34623,J18040,21285,Economy,1/23/2021,
T2201,C34622,J10184,21899,Economy,6/12/2020,
T4131,C34617,J1185,22755,Economy,10/7/2020,
T34308,C34616,J11043,23228,Economy,2/2/2020,
T27657,C34614,J1193,22965,Economy,1/11/2019,
T26887,C34613,J23727,23070,Economy,4/20/2019,
T13745,C1389,J13130,23491,Economy,3/4/2019,
T31596,C34612,J4039,24225,Economy,4/25/2019,
T20088,C34607,J18037,24225,Economy,10/21/2019,
T27203,C1392,J30109,24435,Economy,3/11/2020,
T22607,C34603,J10104,25223,Economy,9/13/2019,
T16285,C1394,J4487,26325,Economy,6/6/2020,
T12130,C1395,J16529,27165,Economy,10/12/2019,
T26013,C34602,J27076,29580,Economy,5/19/2019,
T12238,C1397,J22761,31260,Economy,11/23/2020,
T28820,C1398,J8348,5953,Economy,6/20/2020,
T5685,C1399,J2708,5953,Economy,7/15/2020,
T27241,C1400,J22379,5953,Economy,6/14/2019,
T9573,C34601,J18990,5953,Economy,1/20/2021,
T17820,C1402,J34836,5953,Economy,1/16/2019,
T34829,C1403,J9268,5953,Economy,1/24/2019,
T1721,C1404,J25605,5955,Economy,3/6/2021,
T16265,C1405,J12704,5955,Economy,7/26/2019,
T34235,C34596,J29533,5955,Economy,12/2/2020,
T8925,C34595,J25645,5955,Economy,6/3/2020,
T27371,C1408,J32016,5955,Economy,1/19/2021,
T12216,C1409,J7883,5955,Economy,11/27/2019,
T25063,C34594,J32947,5955,Economy,6/8/2019,
T31678,C1411,J28371,6060,Economy,4/27/2019,
T8738,C34592,J18916,6060,Economy,9/5/2019,
T1337,C34585,J15604,5954,Economy,1/18/2020,
T23303,C1414,J34862,5954,Economy,7/17/2020,
T4406,C34584,J5293,5954,Economy,11/28/2019,
T32662,C1416,J23743,5954,Economy,5/17/2020,
T22430,C1417,J10439,5954,Economy,6/8/2019,
T15045,C34583,J31198,5954,Economy,2/6/2021,
T24574,C1419,J26593,5955,Economy,10/4/2020,
T20971,C1420,J20569,5955,Economy,7/3/2020,
T1085,C34581,J5700,5955,Economy,5/10/2020,
T6645,C34578,J29568,5955,Economy,12/29/2020,
T21400,C34577,J22093,5955,Economy,8/16/2020,
T4535,C34576,J15336,5955,Economy,1/12/2020,
T17526,C34575,J10094,5955,Economy,8/22/2019,
T31176,C1426,J33553,5955,Economy,10/24/2020,
T30274,C1427,J11756,5955,Economy,2/22/2019,
T22528,C34574,J5713,5955,Economy,12/31/2019,
T7581,C34571,J14882,5955,Economy,5/25/2019,
T16616,C1430,J29979,5955,Economy,12/10/2019,
T3769,C1431,J29087,5955,Economy,6/29/2019,
T10075,C1432,J33784,5955,Economy,6/8/2020,
T18082,C34570,J1036,5955,Economy,1/15/2019,
T10920,C34568,J34255,5955,Economy,12/30/2020,
T7985,C1435,J25225,5949,Economy,11/12/2020,
T6453,C1436,J28529,5954,Economy,4/2/2021,
T33225,C1437,J31504,5954,Economy,6/26/2019,
T25225,C34563,J25511,5954,Economy,4/12/2020,
T27893,C34562,J32628,5954,Economy,4/25/2019,
T9472,C34560,J13371,5954,Economy,4/16/2020,
T15319,C34558,J32818,5954,Economy,9/18/2020,
T7999,C1442,J14720,5954,Economy,1/29/2020,
T29334,C34554,J34246,5955,Economy,2/11/2021,
T9470,C34553,J23219,5955,Economy,12/24/2020,
T2983,C1445,J9546,5955,Economy,7/3/2020,
T6485,C1446,J16950,5955,Economy,2/19/2020,
T18242,C34548,J5509,5955,Economy,3/10/2020,
T13665,C34546,J8207,5955,Economy,6/13/2019,
T30873,C34544,J21459,5955,Economy,12/22/2020,
T22074,C34540,J29948,6139,Economy,4/28/2020,
T3323,C1451,J25110,6165,Economy,3/4/2019,
T26860,C34539,J2841,6270,Economy,7/5/2020,
T24716,C1453,J7322,6690,Economy,7/12/2019,
T16099,C34535,J10836,6443,Economy,7/15/2019,
T1172,C1455,J16818,6532,Economy,10/14/2020,
T2392,C34534,J15538,6932,Economy,8/28/2019,
T11814,C34533,J27561,7420,Economy,10/14/2019,
T18923,C34532,J28091,7420,Economy,8/26/2019,
T29536,C34531,J15784,7420,Economy,7/8/2020,
T29595,C1460,J7050,8413,Economy,2/2/2021,
T1159,C34527,J29957,9000,Economy,11/30/2020,
T17741,C34525,J22739,9000,Economy,10/7/2019,
T12351,C34524,J20682,8790,Economy,9/24/2019,
T1142,C1464,J13378,8790,Economy,5/4/2020,
T26003,C34513,J30037,8869,Economy,10/1/2019,
T21729,C1466,J13138,8885,Economy,8/30/2019,
T25536,C1467,J18984,9000,Economy,2/16/2019,
T34661,C34512,J16650,9000,Economy,9/26/2019,
T33232,C34511,J10540,9447,Economy,1/2/2020,
T8997,C34510,J26311,9840,Economy,2/4/2019,
T31090,C1471,J19514,9840,Economy,3/22/2021,
T6384,C1472,J8668,9840,Economy,11/15/2020,
T4180,C1473,J11924,9840,Economy,12/11/2020,
T8536,C1474,J16170,9840,Economy,7/5/2020,
T33384,C34507,J19316,9840,Economy,7/25/2020,
T14281,C34505,J25780,9840,Economy,1/16/2020,
T26280,C34504,J28471,9840,Economy,3/19/2019,
T8577,C1478,J4759,9525,Economy,2/2/2019,
T5322,C1479,J33942,9788,Economy,7/20/2020,
T26807,C1480,J30285,9905,Economy,2/15/2019,
T23261,C1481,J24752,9988,Economy,9/23/2019,
T3050,C1482,J34993,10575,Economy,3/31/2019,
T24320,C1483,J7593,10575,Economy,11/10/2020,
T31160,C34503,J31275,10575,Economy,3/25/2020,
T22669,C1485,J8869,10575,Economy,9/14/2019,
T10114,C1486,J17016,10575,Economy,11/23/2019,
T2971,C34502,J16918,10260,Economy,11/3/2019,
T23581,C34501,J24683,10349,Economy,5/24/2020,
T29865,C34499,J20005,10523,Economy,3/13/2020,
T27917,C1490,J1194,10549,Economy,5/16/2019,
T3718,C34498,J16826,10575,Economy,12/26/2020,
T33944,C1492,J18309,10680,Economy,3/19/2020,
T24943,C34495,J17534,11205,Economy,1/28/2021,
T27702,C1494,J27636,11573,Economy,7/5/2020,
T28006,C1495,J22987,11625,Economy,10/18/2020,
T1245,C34494,J12135,11295,Economy,6/10/2019,
T31590,C34491,J13772,11609,Economy,3/9/2020,
T33311,C1498,J26725,12150,Economy,11/13/2019,
T6636,C1499,J22720,12150,Economy,4/28/2019,
T28390,C34489,J11499,12150,Economy,11/30/2019,
T8846,C1501,J6952,12150,Economy,5/27/2020,
T11171,C1502,J22592,12150,Economy,6/6/2019,
T32758,C1503,J17605,12150,Economy,9/7/2020,
T31896,C34487,J11401,12150,Economy,6/12/2020,
T32897,C34484,J14774,12150,Economy,6/26/2019,
T1364,C1506,J9002,12150,Economy,10/9/2020,
T34166,C1507,J6078,12150,Economy,12/19/2019,
T5376,C34480,J8982,12150,Economy,8/13/2020,
T6516,C1509,J28811,12150,Economy,6/24/2019,
T2968,C1510,J31540,12150,Economy,2/21/2020,
T11828,C1511,J7239,11900,Economy,5/8/2020,
T4597,C34479,J16721,12150,Economy,12/30/2020,
T30524,C1513,J19800,12150,Economy,8/25/2020,
T8476,C1514,J15202,12150,Economy,2/6/2020,
